[I] MODUS VERSION :[I] 00 05 00 06 
[I] 
[I] [FOC] AS5600 encoder source ready
[I] [Waveform] FOC App high-rate monitoring started
[I] 
=== Phase C: SVPWM & Open-Loop Test ===
[I] [Test] Motor waiting for PA12 button press to start...

[mshell] ready. Type 'help'.
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000

[I] [Verify] Current-loop closed: Iq = 0.0500 pu, Speed = 2.0000 Hz
> [T] [Heartbeat] motor: RUNNING, seq: 5102, total: 3180, angle: 0.5102
[T] [Heartbeat] motor: RUNNING, seq: 25108, total: 3183, angle: 0.5107
[T] [Heartbeat] motor: RUNNING, seq: 45103, total: 3183, angle: 0.5103
[T] [Heartbeat] motor: RUNNING, seq: 65102, total: 3176, angle: 0.5102
[T] [Heartbeat] motor: RUNNING, seq: 85102, total: 3180, angle: 0.5102
[T] [Heartbeat] motor: RUNNING, seq: 105108, total: 3194, angle: 0.5108
[T] [Heartbeat] motor: RUNNING, seq: 125102, total: 3176, angle: 0.5102
[T] [Heartbeat] motor: RUNNING, seq: 145103, total: 3179, angle: 0.5102
[T] [Heartbeat] motor: RUNNING, seq: 165103, total: 3183, angle: 0.5103
[T] [Heartbeat] motor: RUNNING, seq: 185108, total: 3194, angle: 0.5108
[T] [Heartbeat] motor: RUNNING, seq: 205102, total: 3176, angle: 0.5102
[T] [Heartbeat] motor: RUNNING, seq: 225102, total: 3180, angle: 0.5102

[I] [FOC] Stop command accepted
> [T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044
[T] [Heartbeat] motor: IDLE, seq: 233044, total: 3190, angle: 0.3044

[I] [Verify] Open-loop running at 2.0000 Hz, Vq = 0.0500 pu
> [T] [Heartbeat] motor: STARTING, seq: 233044, total: 3190, angle: 0.0000
[T] [Heartbeat] motor: RUNNING, seq: 19061, total: 2368, angle: 0.9061
[T] [Heartbeat] motor: RUNNING, seq: 39061, total: 2368, angle: 0.9061
[T] [Heartbeat] motor: RUNNING, seq: 59061, total: 2362, angle: 0.9061
[T] [Heartbeat] motor: RUNNING, seq: 79061, total: 2368, angle: 0.9061
[T] [Heartbeat] motor: RUNNING, seq: 99061, total: 2357, angle: 0.9061
[T] [Heartbeat] motor: RUNNING, seq: 119061, total: 2357, angle: 0.9061
[T] [Heartbeat] motor: RUNNING, seq: 139061, total: 2368, angle: 0.9061
[T] [Heartbeat] motor: RUNNING, seq: 159061, total: 2352, angle: 0.9061

[I] [FOC] Stop command accepted
> [T] [Heartbeat] motor: IDLE, seq: 165948, total: 2378, angle: 0.5948
[T] [Heartbeat] motor: IDLE, seq: 165948, total: 2378, angle: 0.5948
